# Twilight Imperium Card Ability Timing Report

## Executive summary

This report analyzes **Twilight Imperium Fourth Edition with Prophecy of Kings**, and it treats the **Living Rules Reference + FAQ** as the primary authority, because the Rules Reference explicitly overrides the Learn to Play book when they conflict. It also applies the core card-precedence rule: **if a card contradicts the Rules Reference, the card takes precedence; if both can be followed, both should be followed**. That rule is the foundation for almost every “card vs. base rules” interaction in the game. citeturn30view1turn31view0

The most important timing rules are compact but decisive. In TI4, **“when” abilities occur at the moment of the event and take priority over “after” abilities**; **“before/after”** windows resolve immediately adjacent to the event; **“then”** means the text before “then” must be resolved first or the later clause cannot be resolved; **“may”** makes a clause optional; and abilities on components that remain in play are otherwise mandatory unless they say “may.” If multiple abilities are to be resolved in the **action phase**, players resolve them in **initiative order beginning with the active player**; in the **strategy** or **agenda** phases, they resolve starting with the **speaker** and proceeding clockwise. citeturn30view1turn26view2

For combat and invasion windows, the most important procedural anchors are these. **Space Cannon Offense** occurs **after Move Ships** during a tactical action, beginning with the active player and then clockwise. **Space Cannon Defense** occurs only during the invasion on the invaded planet(s), not from adjacent systems. In **space combat**, “before combat” occurs immediately before Anti-Fighter Barrage, and in the **first** combat round the “start of combat” and “start of combat round” windows are the same window; likewise the “end of combat” and “end of combat round” windows merge in the last round. The active player is the **attacker**; a widely used official-rulings compendium notes that the attacker gets the first opportunity to resolve abilities in each combat timing window. citeturn26view4turn26view5turn26view3turn26view7turn27view0

The official support page shows that, by 2025, TI4 has **Codex I–IV**, **Prophecy of Kings**, **Thunder’s Edge**, and a **Codex 4.5 Technology Card Updates** file available as separate official materials. Because your prompt centers on heroes and the classic TI4 phase structure, this report **focuses on base game + Prophecy of Kings + Codex-era replacements only where the replacement text was directly retrievable**. It **does not attempt to fold Thunder’s Edge or Twilight’s Fall into the main catalogue** unless explicitly stated, and any card text not directly retrievable from the accessible sources is marked **“unspecified.”** citeturn31view0

## Scope and rules hierarchy

The official phase skeleton is unchanged: the game round proceeds through **strategy phase**, **action phase**, **status phase**, and—once Mecatol Rex has entered play politically—**agenda phase**. The Prophecy of Kings rulebook also provides a compact quick-reference sequence for the tactical action: **Activation → Movement → Space Cannon Offense → Space Combat → Invasion → Production**. The Living Rules Reference gives the legal details for how card windows plug into that skeleton. citeturn29view0turn30view3turn28view5

For timing analysis, the following hierarchy is the safest way to adjudicate abilities:

| Priority order | Rule |
|---|---|
| Highest | Card text overrides the Rules Reference if they contradict. citeturn30view1 |
| Next | “When” effects take priority over “after” effects. citeturn30view1turn26view2 |
| Next | “Cannot” is absolute; if two “cannot” abilities conflict with an enabling or cancel effect, persistent “cannot” beats one-time ability, and enabling beats cancel. citeturn30view1 |
| Next | In action-phase shared windows, resolve in initiative order starting with the active player. In strategy/agenda shared windows, start with the speaker and go clockwise. citeturn30view1 |
| Next | If a card says “then,” the earlier clause must resolve first. citeturn30view1 |
| Baseline | If a cost cannot be paid, the ability’s effect cannot be resolved. citeturn30view1 |

Two global action-card rules matter constantly. First, a card whose first paragraph begins **“Action:”** is a **component action** and can only be played during your turn in the action phase. Second, **multiple action cards with the same name cannot be played in a single timing window to affect the same units or the same game effect**; canceled cards are not treated as played. citeturn6view3turn26view9

## Master catalogue

The full card pool across base game, Prophecy of Kings, Codex updates, generic promissories, leaders, mechs, flagships, faction technologies, and unit upgrades is extremely large. To keep the report usable, the master catalogue below is split by component family and compresses some entries with identical timing structures into grouped rows. Wherever the accessible materials did not expose the full verified card text before token cutoff, the entry is marked **unspecified**.

Abbreviation key used in the tables: **O** optional, **M** mandatory, **Act** component action, **Int** interrupt or replacement “when”, **Resp** reactive “before/after”, **Cont** continuous, **Exh** exhaust, **Purge** one-shot purge.

### Core timing windows and generic action cards

| Card name | Type | Text | Trigger phase/step | Timing window | Effect summary | Opt./Mand. | Interaction notes | Rulebook citation | Example use-case |
4. **If strategic action**: after resolving the primary ability, other players resolve secondaries starting with the player to the left of the active player and moving clockwise; check branch-specific promissories like **Acquiescence Ω** and agent cards that trigger on strategic actions or secondaries. citeturn30view3turn17view2turn21view0  
5. **If component action**: after it fully resolves, check reactions such as **Suffi An** commander. Do not insert “after component action” triggers until the component action is complete. citeturn21view0turn30view1  
6. **End of your turn**: check end-of-turn triggers like **Predictive Intelligence**, **Puppets on a String**, **Garv and Gunn**, and other “at the end of a player’s turn” effects. citeturn37view4turn13view2turn21view0

### Tactical action and movement

Use this order during every tactical action. It matches the official sequence. citeturn29view0

1. **Activation**: pause for “after a player activates a system” effects such as **Forward Supply Base**, **Captain Mendosa**, **Nullification Field**, **Icarus Drive**, **Starlancer**, and similar cards. This is the single most crowded timing window in TI4. citeturn12view3turn20view0turn36view6turn24view0  
2. **Movement step, Move Ships substep**: check movement-modifying tech such as **Gravity Drive**, **Light/Wave Deflector**, **Lazax Gate Folding**, **Solar Flare**, **Crucible**, and wormhole adjacency effects such as **Emissary Taivra**. citeturn16view1turn36view3turn13view1turn18view3turn22view0  
3. **After Move Ships**: this is **Space Cannon Offense**. Starting with the active player and then clockwise, each player may use Space Cannon; check **Experimental Battlestation**, **Plasma Scoring**, **Graviton Laser System**, **Argent** ability windows, and **PDS II / Xxcha adjacent fire**. citeturn26view4turn12view1turn15view3turn16view2turn34view0turn24view2  
4. **If enemy ships remain**: go to space combat.  
5. **If no enemy ships remain and ground forces will land**: go to invasion.  
6. **After invasion / after any control changes**: check **Integrated Economy**, **Scavenger Zeta**, **Dart and Tai**, **Reclaimer**, and similar “after you gain control” effects before ordinary production. citeturn36view4turn24view0turn21view0turn24view2  
7. **Production step**: check every production modifier, including **Sarween Tools**, **War Machine**, **Harrugh Gefhara**, **Tungstantus**, **Production Biomes**, **Hegemonic Trade Policy**, and faction-specific dock cards. citeturn15view2turn13view1turn20view0turn21view0turn11view3turn36view6

### Space combat and ground combat

Use this order in every combat.

1. **Start of combat / first round start-of-round**: because these windows merge in the first round, check **Dimensional Splicer**, **Assault Cannon**, **Fighter Prototype**, **Supercharge**, **Skilled Retreat**, **The Cavalry**, and start-of-combat heroes or promissories here. citeturn26view3turn37view0turn36view8turn12view1turn37view7turn13view0turn18view2turn18view3  
2. **Anti-Fighter Barrage**: check **Waylay**, **Argent commander**, **Strike Wing Ambuscade**, and any AFB-related flagship or unit-upgrade text. citeturn12view4turn21view0turn18view2turn33view1  
3. **Announce Retreats**: check **Rout** and retreat-permission modifiers like **Dark Energy Tap**. citeturn12view4turn36view3  
4. **Roll Dice / combat rolls**: check die-modifying effects such as **Wrath of Kenara**, **Supercharge**, **Evelyn Delouis**, and rerolls. Rerolls happen after the die is rolled and before later abilities resolve. citeturn25view0turn37view7turn20view0turn30view2  
5. **Assign Hits / Sustain Damage**: check **Shields Holding**, **Direct Hit**, **Quantum Manipulator**, **Non-Euclidean Shielding**, and any solve-order questions involving “uses Sustain Damage.” citeturn13view0turn7view0turn23view2turn36view8  
6. **End of combat round / last-round end-of-combat**: check **Emergency Repairs**, **Exotrireme II**, **Salvage Operations**, and post-round or post-combat hero text. citeturn12view1turn33view1turn36view5turn26view3  
7. **Ground-combat-specific opening**: before or at round start, check **Magen Defense Grid**, **Dunlain Reaper**, **Claire Gibson**, **Greyfire Mutagen Ω**, and **Valkyrie Particle Weave**. citeturn16view3turn23view0turn20view0turn18view2turn37view1

### Status phase and agenda phase

For the **status phase**, resolve the official steps in order: **score objectives → reveal public objective → draw action cards → remove command tokens → gain/redistribute command tokens → ready cards → repair units → return strategy cards**. The main card checks are **Neural Motivator**, **Hyper Metabolism**, **Predictive Intelligence**, **Alliance / commander-sharing effects still in play**, **Genesis**, **The Oracle**, and any “start/end of status phase” or “during status phase” cards. citeturn30view3turn15view0turn16view0turn37view4turn25view0turn22view0

For the **agenda phase**, use this fixed cadence for each agenda: **reveal → after revealed window → vote → after vote windows → resolve outcome → when elected / outcome windows**. Start-of-agenda effects like **Ancient Burial Sites** happen before the first reveal. After an agenda is revealed, check **riders**, **Assassinate Representative**, **Hack Election**, **Political Favor**, and leader/promissory windows. During voting, check **Bribery**, **Distinguished Councilor**, **Gila the Silvertongue**, **Elder Qanoj**, **Predictive Intelligence**, and any “cannot vote” restrictions. At outcome resolution, check **Confusing/Confounding Legal Text**, “elected” heroes, and outcome-specific laws. citeturn28view5turn12view0turn12view3turn17view2turn20view1turn36view6turn37view4

## Flowcharts

### Combat decision flow

```mermaid
flowchart TD
    A[Space combat would begin] --> B{First combat round?}
    B -->|Yes| C[Open shared start window<br/>start of combat = start of combat round]
    B -->|No| D[Open start of combat round window]
    C --> E[Check: Assault Cannon / Dimensional Splicer / Fighter Prototype / Supercharge / Skilled Retreat / The Cavalry]
    D --> E
    E --> F[Anti-Fighter Barrage step]
    F --> G[Check Waylay / Argent unit-ability bonuses / rerolls]
    G --> H[Announce Retreats]
    H --> I[Check Rout / retreat permissions]
    I --> J[Roll Dice]
    J --> K[Check die modifiers / rerolls]
    K --> L[Assign Hits]
    L --> M[Check Shields Holding / Sustain Damage / Direct Hit / Quantum Manipulator / Non-Euclidean Shielding]
    M --> N{Ships remain on both sides?}
    N -->|Yes| O[End of combat round window<br/>check Emergency Repairs etc.]
    O --> D
    N -->|No| P[Combat ends]
    P --> Q[Check post-combat windows<br/>Salvage Operations / Exotrireme II / hero or promissory text]
```

### PDS and invasion decision flow

```mermaid
flowchart TD
    A[Active player activated a system] --> B[Move Ships]
    B --> C[After Move Ships]
    C --> D[Space Cannon Offense window]
    D --> E[Active player, then clockwise, check PDS / War Suns / Experimental Battlestation / Plasma Scoring / Graviton Laser]
    E --> F{Enemy ships remain in active system?}
    F -->|Yes| G[Resolve space combat first]
    F -->|No or after combat| H[Invasion begins]
    H --> I[Start of invasion window<br/>check Bunker / Disable / Blitz Ω / similar]
    I --> J[Bombardment]
    J --> K[Check Plasma Scoring / X-89 Ω follow-up]
    K --> L[Commit Ground Forces]
    L --> M[Check Ghost Squad / Sardakk commander / special commit effects]
    M --> N[Space Cannon Defense]
    N --> O[Only units on invaded planet(s) may fire]
    O --> P[Ground Combat]
    P --> Q[Check Magen / Valkyrie / Dunlain Reaper / Claire Gibson / Greyfire Ω]
    Q --> R[Establish Control]
    R --> S[Check control-triggered cards<br/>Integrated Economy / Scavenger Zeta / Reclaimer / Dart and Tai]
    S --> T[Production]
```

## FAQ and memory aids

A few interactions are worth memorizing because they recur constantly.

**Does “when” beat “after”?** Yes. “When” happens at the moment of the event and takes priority over “after.” If two cards appear to compete, start there. citeturn30view1turn26view2

**Can a card override the rulebook?** Yes, if it truly contradicts the Rules Reference. But if both can be obeyed, obey both. That is why cards like **Dreadnought II** can overrule **Direct Hit**, and why unit cards can add permissions like “may move without being transported” without replacing all movement rules. citeturn30view1turn33view1turn34view2

**How do I order multiple reactions in combat?** In the action phase, shared windows resolve in initiative order beginning with the active player; for combat specifically, the standard practical shorthand is “**attacker asks first**,” which matches the official-rulings note preserved in TI Rules 2. citeturn30view1turn27view0

**Can adjacent PDS fire during Space Cannon Defense?** No. Adjacent-fire permissions from **PDS II** and similar effects matter in **Space Cannon Offense**, not Defense. Defense uses only units on the invaded planet(s). citeturn26view5turn14search12

**Can players who cannot vote still play riders?** Yes. The FAQ explicitly allows it. Also, “after the speaker votes” windows still occur even if the speaker abstains or is unable to vote. citeturn26view1turn28view6

The best mnemonic I know for practical play is:

**A-A-M-S-C-I-P**  
**A**ctivate → **A**fter move ships → **M**ove / Space Cannon Offense → **S**pace combat → **C**ommit ground forces → Space Cannon **I**n defense → **P**roduction.

And for combat:

**S-A-R-H-E**  
**S**tart window → **A**FB → **R**olls → assign **H**its → **E**nd-round window.

If you keep those two ladders beside the board, most “did we miss a trigger?” mistakes disappear.

## Open questions and limitations

This report is grounded primarily in the official **Living Rules Reference + FAQ**, the official **Prophecy of Kings rulebook**, the official Fantasy Flight support page, and high-quality card transcriptions hosted on the **Twilight Imperium Wiki** and **TI Rules 2**. citeturn30view1turn29view0turn31view0turn9search14turn10view0turn10view1turn10view2turn10view3turn10view4turn15view4

Because the attached local card-image files were not accessible in the workspace and because the card pool is very large, some entries could only be catalogued as **high-confidence compressed summaries**, and several specific card texts that were not directly retrievable from accessible excerpts are marked **unspecified**. The main gaps are a minority of faction technologies and some lower-frequency generic action-card texts outside the retrieved excerpts. Where you have the physical cards or supplied images, those should be treated as the final verification layer for any row marked **unspecified**. citeturn31view0turn30view1
